Name,ALMA_1a,ALMA_1b,ALMA_1c,ALMA_1d,ALMA_2a,ALMA_2b,ALMA_2c,ALMA_2d,ALMA_3a,ALMA_3b,ALMA_3c,ALMA_3d,ALMA_4a,ALMA_4b,ALMA_4c,ALMA_4d,ALMA_5a,ALMA_5b,ALMA_5c,ALMA_5d,ALMA_6a,ALMA_6b,ALMA_6c,ALMA_6d,ALMA_8a,ALMA_8b,LB_1a,LB_1b,LB_1c,LB_1d,Lomas_Bayas_3a,Lomas_Bayas_3b,Lomas_Bayas_3c,CAB_2a,CAB_2b,CAB_2c,CAB_2d,CAB_3b,CAB_3c,Y6-2a_,Y6-2b_,Y6-2c_,Y6-2d_,Y6-30a,Y6-30b,Y6-30c,Y6-30d,Y6-100a,Y6-100b,Y6-100c,Y6-100d,Chaxa_1-2a,Chaxa_1-2b,Chaxa_1-2c,Chaxa_1-2d,Chaxa_1-30a,Chaxa_1-30b,Chaxa_1-30c,Chaxa_1-30d,Chaxa_cyano_a,Chaxa_cyano_b,Chaxa_cyano_c,Chaxa_cyano_d,LM_1a,LM_1b,LM_1c,LM_1d,LM_2a,LM_2b,LM_2c,LM_2d,POP_1d,POP_2a,POP_2b,POP_2c,POP_2d,VDL_a,VDL_b,VDL_c,VDL_d,Y2a,Y2b,Y2c,Y2d
FJ479147_g,1,0,10,21,43,65,93,81,1,5,0,0,76,45,8,3,4,3,3,1,2,2,2,3,5,4,5,0,4,2,411,13,17,29,11,14,12,6,3,1118,806,21,17,706,760,460,975,24,5,49,17,16,62,52,20,420,61,27,52,475,19,21,664,11,39,21,21,7,14,5,15,19,623,674,44,36,577,33,33,29,3,2,10,0
HQ674860_g,16,8,91,73,39,180,40,64,0,4,19,18,40,21,14,15,16,5,7,14,17,17,7,21,11,15,12,3,14,7,230,781,802,31,2,9,11,0,2,437,291,26,24,304,342,214,386,57,42,114,37,42,42,88,21,157,42,38,54,171,22,41,362,6,13,6,8,2,3,2,3,106,238,314,47,29,295,45,33,25,0,0,0,0
HQ910322_g,63,74,65,62,18,1,15,41,165,88,33,30,24,6,5,6,99,43,92,69,311,383,41,20,16,7,48,49,54,67,8,168,168,563,36,152,97,0,0,29,6,100,77,5,7,2,4,246,44,89,33,116,116,179,91,5,153,96,146,3,187,221,17,5,4,1,2,1,2,1,7,502,4,7,72,65,5,113,123,71,0,0,0,0
Arthrobacter,54,111,68,94,30,27,18,25,20,16,5,7,21,23,2,4,43,45,52,58,59,47,188,77,697,539,19,34,25,125,1,20,36,584,40,118,96,4,1,4,4,38,34,0,0,1,1,292,20,53,14,136,53,102,70,1,127,46,86,0,129,213,4,42,59,23,61,100,120,91,124,76,0,1,52,44,1,71,73,35,5,13,3,2
Blastococcus,161,155,77,109,52,11,11,1,134,113,118,196,18,17,17,20,102,47,95,76,68,52,21,22,8,7,31,61,36,56,6,39,34,618,43,175,121,2,5,18,10,45,42,7,1,5,4,277,19,82,40,157,68,152,130,4,151,93,123,5,235,278,15,13,6,2,3,5,6,0,6,153,5,4,56,68,2,65,112,83,9,16,6,1
Geodermatophilus,108,49,37,80,31,12,7,13,97,47,85,87,19,14,15,14,44,18,28,43,33,13,18,4,11,4,7,23,16,32,14,44,82,226,18,65,68,1,1,30,22,34,12,16,12,6,24,109,13,48,19,62,32,69,61,6,78,58,90,13,80,121,21,1,0,1,1,2,0,1,4,267,11,11,36,14,13,25,100,62,0,0,1,1
Modestobacter,96,139,35,72,5,1,11,3,166,104,49,64,8,8,4,23,49,22,27,45,32,14,10,19,10,5,28,17,14,34,0,20,20,196,15,63,43,0,0,2,5,21,16,0,0,0,1,139,7,48,18,77,39,86,58,0,69,61,89,1,92,143,13,6,6,6,1,0,2,2,5,72,0,0,26,23,0,41,56,44,0,0,0,1
Verrucosispora,0,2,0,0,7,0,9,3,0,12,1,2,2,0,1,7,4,7,6,4,13,3,2,3,1,1,2,0,1,9,1,15,23,6,2,4,6,20,42,5,2,25,52,0,0,0,1,180,95,154,106,98,39,204,36,1,106,54,102,4,12,69,17,2,0,7,7,9,14,17,11,174,3,4,106,106,2,38,90,90,1,3,4,3
FJ712481_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,637,393,190,276,139,172,108,189,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryobacterium,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,21,26,10,25,505,477,383,607,0,0,0,0,0,0,1,0,0,1,4,2,0
EF632905_g,0,1,4,4,28,6,28,47,0,1,0,0,1,0,5,4,0,0,2,2,2,10,1,0,6,15,0,1,0,10,15,33,35,3,1,2,2,0,0,38,18,3,7,21,17,11,28,3,0,0,0,12,11,5,2,9,1,0,18,9,3,8,26,507,29,155,19,20,25,14,14,684,20,27,1,7,13,2,0,3,1,0,2,0
Sporichthya,65,24,17,20,5,0,10,1,10,9,0,2,2,0,1,3,41,16,18,25,20,11,11,4,7,7,3,20,5,29,2,26,21,248,27,71,56,1,0,3,4,14,7,0,0,0,1,122,12,27,7,51,18,43,30,2,26,20,25,0,96,140,9,1,0,0,1,0,1,0,1,144,1,0,7,20,3,28,35,29,1,2,0,2
Friedmanniella,31,40,49,52,5,0,8,9,94,28,11,17,8,1,22,16,32,18,40,29,18,11,4,5,4,2,15,29,13,27,2,13,5,154,12,47,36,0,0,3,2,26,6,0,0,0,0,108,4,24,15,64,23,53,21,1,66,22,34,0,99,113,0,1,0,1,0,0,0,0,1,29,1,0,18,29,1,25,40,24,0,0,0,0
EU374093_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,895,244,300,204,19,14,10,10,3,0,0,0,0,1,0,0,0,0,0,0,0
Streptomyces,0,1,6,18,27,1,9,12,1,8,1,0,28,15,30,34,2,3,5,4,2,4,5,1,1,15,7,1,7,4,1,10,13,5,0,1,2,0,1,7,8,14,25,2,2,4,7,23,8,194,82,5,30,44,19,1,34,39,58,0,14,30,4,3,1,1,2,1,0,1,0,73,1,5,109,411,3,31,79,43,0,0,0,0
Nocardioides,14,15,14,23,29,4,8,12,43,33,9,3,15,24,11,13,15,9,26,14,16,20,26,13,41,28,16,8,8,16,2,11,4,19,0,16,5,7,22,11,5,7,12,2,7,2,3,45,3,8,0,27,16,29,17,2,44,27,41,0,27,34,4,21,16,10,7,5,7,5,2,26,3,6,13,8,5,21,18,22,56,246,108,93
